日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,名称
2026-06-25,301300,33.99,32.42,34.0,32.0,10675.92,34903661.0,,,,2.715550813904447,远翔新材
2026-06-26,301300,32.17,32.0,33.25,31.32,16225.62,52206074.0,5.9531,-1.2955,-0.42,4.127184879345693,远翔新材
2026-06-29,301300,32.0,31.46,32.18,30.44,9964.0,31173349.0,5.4375,-1.6875,-0.54,2.5344652554294065,远翔新材
2026-06-30,301300,31.65,31.37,31.86,30.79,10790.01,33777981.0,3.4011,-0.2861,-0.09,2.7445710006760184,远翔新材
2026-07-01,301300,31.37,32.01,32.31,30.9,9894.01,31271927.0,4.4947,2.0402,0.64,2.5166624429818447,远翔新材
2026-07-02,301300,32.0,31.91,32.94,31.68,9299.58,30022470.0,3.9363,-0.3124,-0.1,2.365461902858912,远翔新材
2026-07-03,301300,32.18,32.23,32.55,31.7,9047.0,29135902.0,2.6637,1.0028,0.32,2.3012150909142752,远翔新材
2026-07-06,301300,32.26,31.96,32.88,31.85,8233.01,26570386.0,3.1958,-0.8377,-0.27,2.0941667796670873,远翔新材
2026-07-07,301300,32.16,30.44,32.16,30.44,7192.94,22337864.0,5.3817,-4.7559,-1.52,1.829612255558851,远翔新材
2026-07-08,301300,30.44,29.89,30.51,29.8,6761.0,20339489.0,2.3325,-1.8068,-0.55,1.7197430341186488,远翔新材
2026-07-09,301300,29.75,29.59,30.22,28.73,6179.0,18153715.0,4.9849,-1.0037,-0.3,1.5717042165092634,远翔新材
2026-07-10,301300,28.99,29.82,30.48,28.99,10538.0,31498855.0,5.0355,0.7773,0.23,2.6804691752022363,远翔新材
2026-07-13,301300,29.95,28.97,30.05,28.72,8090.0,23629114.0,4.4601,-2.8504,-0.85,2.0577904372163687,远翔新材
2026-07-14,301300,28.97,29.82,29.88,28.4,7185.51,20983488.0,5.1087,2.9341,0.85,1.8277223441931507,远翔新材
2026-07-15,301300,29.79,29.95,30.22,29.39,7825.0,23317036.0,2.7834,0.4359,0.13,1.99038444638048,远翔新材
2026-07-16,301300,29.94,30.07,30.56,29.41,6481.5,19521035.0,3.8397,0.4007,0.12,1.6486487909540042,远翔新材
2026-07-17,301300,30.4,28.73,30.4,28.31,11047.85,32538978.0,6.9504,-4.4563,-1.34,2.8101557579481904,远翔新材
